FrameNo,Joy Evidence,Anger Evidence,Surprise Evidence,Fear Evidence,Sadness Evidence
324,0.582584501,0.811219716,0.245920861,0.496278535,0.704798306
325,0.806946485,0.837471525,0.403095621,0.654043839,0.825848535
326,0.794660775,0.760538391,0.412466253,0.69130891,0.780798711
327,0.615991748,0.829098557,0.334337729,0.546776586,0.778754036
328,0.889558843,0.866104661,0.454951947,0.698112708,0.785048802
329,0.87429235,0.806527653,0.454240294,0.679988353,0.722682596
330,0.819654596,0.794677053,0.406022146,0.67454645,0.814890245
331,0.851023356,0.867727247,0.477462325,0.78409874,0.865839266
332,0.460218228,0.776268307,0.145366296,0.489672659,0.810867556
333,0.780526683,0.76791399,0.46483398,0.61126668,0.805453052
334,0.9017589,0.864958742,0.482112315,0.775863117,0.852831011
335,0.721166976,0.789960888,0.403007021,0.623174407,0.811688281
336,0.852609917,0.784336201,0.448586749,0.726740595,0.810944537
337,0.849373118,0.844342546,0.441838084,0.701067333,0.805987396
338,0.913996535,0.794368384,0.519847653,0.707241485,0.762726906
339,0.851083886,0.812501257,0.381898062,0.666801111,0.816937784
340,0.876523864,0.864015728,0.464373235,0.756039654,0.831309006
341,0.739615345,0.836616565,0.366358202,0.623126196,0.809144246
342,0.634547417,0.801712409,0.332076358,0.547485401,0.730904842
343,0.900225231,0.865283841,0.50073219,0.768351741,0.772740744
344,0.89558992,0.828041586,0.413890336,0.753816712,0.777544095
345,0.743051906,0.807748981,0.423973775,0.609886149,0.78584747
346,0.890118157,0.899585266,0.445694266,0.800053673,0.861427354
347,0.878388088,0.878436463,0.470544725,0.769981921,0.779935118
348,0.721545894,0.819659888,0.42471196,0.648421186,0.718078317
349,0.552704471,0.830504588,0.442560952,0.67594482,0.804370243
350,0.860238278,0.873279971,0.592977861,0.769926814,0.78181068
351,0.891273988,0.908570268,0.485533914,0.777185653,0.823861415
352,0.544219265,0.891104966,0.424932254,0.64738267,0.748998365
353,0.88688388,0.889233375,0.521455482,0.857147179,0.820065385
354,0.875726445,0.912176627,0.51250463,0.789745217,0.824337526
355,0.884456566,0.94154814,0.48953395,0.830017902,0.839019945
356,0.639111964,0.857860549,0.402076336,0.694097789,0.632608246
357,0.831021915,0.890836943,0.493267751,0.778600638,0.823942896
358,0.909516285,0.956656525,0.581486422,0.901699709,0.886210915
359,0.578292299,0.878186849,0.393090839,0.652787933,0.704907648
360,0.823690282,0.908057837,0.478852321,0.791860481,0.770468607
361,0.811241559,0.925396009,0.531883606,0.82797838,0.806461311
362,0.853080808,0.91180616,0.584826551,0.851480682,0.847959334
363,0.866834966,0.879164935,0.563448302,0.846717098,0.764219376
364,0.864795337,0.907006387,0.571537371,0.868596144,0.797923003
365,0.705615721,0.895834008,0.512902387,0.773612792,0.754438797
366,0.666648877,0.881918309,0.431246065,0.715180129,0.773597892
367,0.757392671,0.908901077,0.496662674,0.760001646,0.757987122
368,0.708452242,0.910518183,0.451024221,0.735688964,0.737997683
369,0.444445876,0.873396816,0.274938659,0.578401326,0.693371775
370,0.754593376,0.940162393,0.48340127,0.793507896,0.763275252
371,0.616736013,0.922841445,0.33940722,0.659451556,0.75170921
372,0.721932538,0.849951267,0.476012946,0.738713637,0.670699265
373,0.8760719,0.90568849,0.530057521,0.827377837,0.806332615
374,0.639344362,0.849430533,0.495267576,0.732846589,0.698774846
375,0.795835168,0.868426261,0.478352433,0.777294173,0.790755965
376,0.7780786,0.866738088,0.468281046,0.774619755,0.756586634
377,0.824579323,0.884059952,0.477079777,0.797864212,0.70521466
378,0.625505906,0.868913283,0.401730092,0.72141142,0.828941127
379,0.788585386,0.863359011,0.526819488,0.777165501,0.748074958
380,0.816221585,0.899879989,0.439669578,0.776435385,0.751537943
381,0.761313355,0.854119801,0.518987232,0.749542931,0.767539701
382,0.798801867,0.872736268,0.592571712,0.825586425,0.813314577
383,0.822504864,0.848910263,0.530244855,0.799366821,0.748023732
384,0.86907802,0.901683428,0.58404092,0.799906875,0.78583003
385,0.853832309,0.912191526,0.504710013,0.827728312,0.789451312
386,0.832761581,0.876490722,0.583833365,0.82675273,0.742765771
387,0.820911154,0.846748725,0.599400702,0.808899715,0.749218105
388,0.902100931,0.919885065,0.528371549,0.872282527,0.798751384
389,0.82753674,0.79107631,0.554434407,0.841296257,0.706012205
390,0.857115251,0.846368153,0.588440362,0.849635292,0.718058476
391,0.836531644,0.852235582,0.498507961,0.806908638,0.676791563
392,0.845277054,0.85196438,0.656193753,0.860436993,0.787338477
393,0.863739094,0.885145439,0.508662098,0.861662375,0.766917757
394,0.874167114,0.926062903,0.53736607,0.848671885,0.767757009
395,0.897347345,0.848367494,0.652752817,0.844547662,0.735572885
396,0.815427339,0.885265543,0.601039245,0.84481421,0.807841963
397,0.856825021,0.887024983,0.506742174,0.822230755,0.781981336
398,0.822338928,0.863012981,0.53577125,0.789948359,0.797506081
399,0.85236139,0.882257504,0.630044882,0.876979539,0.769803511
400,0.861580563,0.90279366,0.547232344,0.86202032,0.771270936
401,0.884510323,0.862998387,0.615031587,0.855216201,0.733303711
402,0.914276669,0.915053922,0.53686858,0.86556962,0.746251962
403,0.919845321,0.947950944,0.645994659,0.853158869,0.7914677
404,0.928887898,0.933731878,0.643222689,0.906004575,0.851673413
405,0.875515194,0.857440375,0.637965891,0.846093335,0.735880095
406,0.835432229,0.888551455,0.547293431,0.830265185,0.705567743
407,0.881360067,0.915748256,0.548674313,0.876891433,0.786848833
408,0.855925958,0.866948838,0.603630209,0.82818908,0.736180366
409,0.906871788,0.935340721,0.493662388,0.87518631,0.7693112
410,0.932450685,0.975816533,0.682825726,0.933526373,0.878671594
411,0.943308997,0.963211827,0.598683874,0.913864648,0.85329769
412,0.934013716,0.979407029,0.830764288,0.936716695,0.884609942
413,0.921851236,0.84898698,0.604152049,0.88688794,0.734436221
414,0.881419242,0.868431066,0.601786004,0.866534868,0.770506116
415,0.910184229,0.979212479,0.708046527,0.934569548,0.905331668
416,0.912892316,0.905483034,0.614506979,0.868243838,0.708594428
417,0.920385483,0.898126861,0.641464696,0.869108908,0.712546581
418,0.911440649,0.920476425,0.504817473,0.829700776,0.644764347
419,0.904651436,0.931255702,0.597952928,0.873802779,0.737964081
420,0.907991458,0.931183639,0.526359446,0.842670038,0.743356275
421,0.822263938,0.916094576,0.572454344,0.850299835,0.756941415
422,0.847850988,0.882658025,0.549767117,0.839487196,0.723473739
423,0.896585157,0.907634974,0.618129426,0.815591462,0.7368338
424,0.921174198,0.96811969,0.695283334,0.874455917,0.86123721
425,0.902168459,0.938676242,0.476533957,0.846858261,0.750584923
426,0.90342577,0.916847099,0.572624306,0.8465866,0.7196372
427,0.886272577,0.950044702,0.521701487,0.822288687,0.796524386
428,0.910781735,0.923409367,0.597914694,0.822318369,0.693520657
429,0.874979258,0.900132658,0.538739136,0.863317494,0.731657611
430,0.859660777,0.954658849,0.540915215,0.802077422,0.790948826
431,0.901109494,0.94994234,0.55318209,0.849985367,0.80377264
